movieID,Title,Year,Director,Actors,Rating,Runtime (Mins),Censor Rating,Genre,Sub_Genre,Streaming
22,#Saraitda,2020,Il Cho,"Yoo Ah-in, Park Shin-Hye, Jeon Bae-soo, Hyun-Wook Lee",6.3,98,16,Action," Drama,  Horror","Netflix, Hulu"
23,1 - Nenokkadine,2014,Sukumar,"Mahesh Babu, Kriti Sanon, Nassar, Pradeep Singh Rawat",8,170,UA,Action, Thriller,Hulu
24,10 Cloverfield Lane,2016,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",7.2,103,A,Drama," Horror,  Mystery",None
25,10 Things I Hate About You,1999,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik",7.3,97,U,Comedy," Drama,  Romance","Amazon, Netflix, Hulu, Vudu"
26,10 Years,2011,Jamie Linden,"Channing Tatum, Rosario Dawson, Chris Pratt, Jenna Dewan",6.1,110,PG-13,Comedy," Drama,  Romance",Hulu
27,"10,000 BC",2008,Roland Emmerich,"Camilla Belle, Steven Strait, Marco Khan, Cliff Curtis",5.1,109,UA,Action," Adventure,  Drama",Hulu
28,101 Dalmatians,1996,Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright",5.7,103,Not Rated,Adventure," Comedy,  Crime",None
29,102 Dalmatians,2000,Kevin Lima,"Glenn Close, GÃ©rard Depardieu, Ioan Gruffudd, Alice Evans",4.8,100,Not Rated,Adventure," Comedy,  Family","Amazon, Netflix, Hulu, Vudu"
30,12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",9,96,U,Crime, Drama,"Amazon, Netflix, Hulu, Vudu"
31,12 Rounds,2009,Renny Harlin,"John Cena, Ashley Scott, Aidan Gillen, Steve Harris",5.6,108,PG-13,Action," Crime,  Thriller",Hulu
32,12 Strong,2018,Nicolai Fuglsig,"Chris Hemsworth, Michael Shannon, Michael PeÃ±a, Navid Negahban",6.5,130,A,Action," Drama,  History","Netflix, Hulu"
33,12 Years a Slave,2013,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",8.1,134,A,Biography," Drama,  History","Hulu, Amazon"
34,127 Hours,2010,Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",7.6,94,UA,Biography, Drama,"Netflix, Vudu"
35,13 Going on 30,2004,Gary Winick,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis",6.2,98,UA,Comedy," Fantasy,  Romance","Amazon, Netflix, Hulu, Vudu"
36,13 Hours,2016,Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman",7.3,144,A,Action," Drama,  History",Hulu
37,1492: Conquest of Paradise,1992,Ridley Scott,"GÃ©rard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean",6.4,154,PG-13,Adventure," Biography,  Drama",Youtube
38,15 Minutes,2001,John Herzfeld,"Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks",6.1,120,UA,Action," Crime,  Drama","Netflix, Hulu"
39,16 Blocks,2006,Richard Donner,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern",6.6,102,UA,Action," Drama,  Thriller","Netflix, Hulu"
40,17 Again,2009,Burr Steers,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon",6.4,102,UA,Comedy," Drama,  Fantasy",None
41,2 Days in Paris,2007,Julie Delpy,"Julie Delpy, Adam Goldberg, Daniel BrÃ¼hl, Marie Pillet",6.7,96,Not Rated,Comedy," Drama,  Romance","Amazon, Netflix, Hulu, Vudu"
42,2 Fast 2 Furious,2003,John Singleton,"Paul Walker, Tyrese Gibson, Cole Hauser, Eva Mendes",5.9,107,A,Action," Crime,  Thriller",Hulu
43,2 Guns,2013,Baltasar KormÃ¡kur,"Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton",6.7,109,A,Action, Thriller,"Netflix, Hulu"
44,2 States,2014,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh, Revathi",6.9,149,UA,Comedy," Drama,  Romance",Youtube
45,"20,000 Leagues Under the Sea",1954,Richard Fleischer,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre",7.2,127,Not Rated,Adventure," Drama,  Family","Hulu, Amazon"
46,2010: The Year We Make Contact,1984,Peter Hyams,"Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban",6.7,116,Not Rated,Adventure," Mystery,  Sci-Fi",Netflix
47,20th Century Women,2016,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup",7.3,119,R,Comedy, Drama,"Netflix, Amazon"
48,21 & Over,2013,"Directors:Jon Lucas, Scott Moore","Miles Teller, Justin Chon, Jonathan Keltz, Sarah Wright",5.8,93,A,Comedy,Comedy,"Netflix, Vudu"
49,21 Bridges,2019,Brian Kirk,"Chadwick Boseman, Sienna Miller, J.K. Simmons, Stephan James",6.6,99,A,Action," Crime,  Drama","Netflix, Hulu"
50,21 Grams,2003,Alejandro G. Iñárritu,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston",7.6,124,UA,Crime," Drama,  Thriller","Hulu, Amazon"
51,21 Jump Street,2012,"Directors:Phil Lord, Christopher Miller","Jonah Hill, Channing Tatum, Ice Cube, Brie Larson",7.2,109,UA,Action," Comedy,  Crime",Hulu
52,22 Jump Street,2014,"Directors:Phil Lord, Christopher Miller","Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman",7,112,A,Action," Comedy,  Crime","Netflix, Hulu"
53,24 Hour Party People,2002,Michael Winterbottom,"Steve Coogan, Lennie James, John Thomson, Nigel Pivaro",7.3,117,R,Biography," Comedy,  Drama",Netflix
54,25th Hour,2002,Spike Lee,"Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson",7.6,135,R,Drama,Drama,"Hulu, Amazon"
55,27 Dresses,2008,Anne Fletcher,"Katherine Heigl, James Marsden, Malin Akerman, Brian Kerwin",6.1,111,UA,Comedy, Romance,Hulu
56,28 Days,2000,Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins",6.1,103,U,Comedy, Drama,None
57,28 Days Later...,2002,Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer",7.5,113,A,Drama," Horror,  Sci-Fi",Netflix
58,28 Weeks Later,2007,Juan Carlos Fresnadillo,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",6.9,100,R,Action," Adventure,  Horror","Netflix, Hulu"
59,3 Days to Kill,2014,McG,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard",6.2,117,A,Action," Drama,  Thriller","Netflix, Hulu"
60,3 Idiots,2009,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi",8.4,170,UA,Comedy, Drama,Youtube
61,3 Men and a Baby,1987,Leonard Nimoy,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",6.1,102,U,Comedy," Drama,  Family",None
62,3 Men and a Little Lady,1990,Emile Ardolino,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",5.4,104,Not Rated,Comedy," Drama,  Family",None
63,3:10 to Yuma,2007,James Mangold,"Russell Crowe, Christian Bale, Ben Foster, Logan Lerman",7.7,122,A,Action," Crime,  Drama",Hulu
64,30 Days of Night,2007,David Slade,"Josh Hartnett, Melissa George, Danny Huston, Ben Foster",6.6,113,A,Action," Adventure,  Horror","Netflix, Hulu"
65,30 Minutes or Less,2011,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Nick Swardson, Aziz Ansari",6.1,83,A,Action," Comedy,  Crime","Netflix, Hulu"
66,300: Rise of an Empire,2014,Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",6.2,102,R,Action, Drama,"Netflix, Hulu"
67,3000 Miles to Graceland,2001,Demian Lichtenstein,"Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater",5.9,125,R,Action," Comedy,  Crime","Hulu, Amazon"
68,365 dni,2020,"Directors:Barbara Bialowas, Tomasz Mandes","Anna-Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze",3.3,114,A,Drama, Romance,Netflix
69,"4 luni, 3 saptamâni si 2 zile",2007,Cristian Mungiu,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean",7.9,113,Not Rated,Drama,Drama,Netflix
70,4: Rise of the Silver Surfer,2007,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis",5.6,92,U,Action," Adventure,  Fantasy","Netflix, Vudu"
71,40 Days and 40 Nights,2002,Michael Lehmann,"Josh Hartnett, Shannyn Sossamon, Paulo Costanzo, Adam Trese",5.6,96,A,Comedy, Romance,"Amazon, Netflix, Hulu, Vudu"
72,45 Years,2015,Andrew Haigh,"Charlotte Rampling, Tom Courtenay, Geraldine James, Dolly Wells",7.1,95,R,Drama, Romance,"Amazon, Netflix, Hulu, Vudu"
73,47 Meters Down,2017,Johannes Roberts,"Mandy Moore, Claire Holt, Matthew Modine, Chris Johnson",5.6,89,UA,Adventure," Drama,  Horror",Amazon
74,47 Meters Down: Uncaged,2019,Johannes Roberts,"Sophie NÃ©lisse, Corinne Foxx, Brianne Tju, Sistine Rose Stallone",5,90,A,Adventure," Drama,  Horror",Amazon
75,47 Ronin,2013,Carl Rinsch,"Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano",6.2,128,UA,Action," Drama,  Fantasy","Netflix, Hulu"
76,48 Hrs.,1982,Walter Hill,"Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae",6.9,96,A,Action," Comedy,  Crime","Netflix, Hulu"
77,50 First Dates,2004,Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin",6.8,99,UA,Comedy," Drama,  Romance","Amazon, Netflix, Hulu, Vudu"
78,50/50,2011,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",7.6,100,18,Comedy," Drama,  Romance","Hulu, Amazon"
79,6 Underground,2019,Michael Bay,"Ryan Reynolds, MÃ©lanie Laurent, Manuel Garcia-Rulfo, Ben Hardy",6.1,128,18,Action, Thriller,"Netflix, Hulu"
80,777 Charlie,2022,Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty",8.9,136,UA,Adventure," Comedy,  Drama","Hulu, Amazon"
81,8 femmes,2002,François Ozon,"Fanny Ardant, Emmanuelle BÃ©art, Danielle Darrieux, Catherine Deneuve",7,111,R,Comedy," Crime,  Musical",Hulu
82,8 Mile,2002,Curtis Hanson,"Eminem, Brittany Murphy, Kim Basinger, Mekhi Phifer",7.2,110,UA,Drama, Music,Hulu
83,8½,1963,Federico Fellini,"Marcello Mastroianni, Anouk AimÃ©e, Claudia Cardinale, Sandra Milo",8,138,Not Rated,Drama,Drama,"Hulu, Amazon"
84,88 Minutes,2007,Jon Avnet,"Al Pacino, Alicia Witt, Ben McKenzie, Leelee Sobieski",5.9,108,UA,Crime," Drama,  Mystery",Hulu
85,8MM,1999,Joel Schumacher,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare",6.5,123,R,Crime," Drama,  Mystery","Netflix, Amazon"
86,99 Homes,2014,Ramin Bahrani,"Andrew Garfield, Michael Shannon, Laura Dern, Clancy Brown",7.1,112,R,Crime, Drama,Netflix
87,A Bad Moms Christmas,2017,"Directors:Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez",5.6,104,R,Comedy,Comedy,None
88,A Beautiful Day in the Neighborhood,2019,Marielle Heller,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson",7.2,109,UA,Biography, Drama,Hulu
89,A Beautiful Mind,2001,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",8.2,135,UA,Biography, Drama,"Hulu, Amazon"
90,A Bigger Splash,2015,Luca Guadagnino,"Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson",6.4,125,R,Drama," Music,  Thriller","Hulu, Amazon"
91,À bout de souffle,1960,Jean-Luc Godard,"Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet",7.7,90,U,Crime, Drama,Amazon
92,A Bridge Too Far,1977,Richard Attenborough,"Sean Connery, Ryan O'Neal, Michael Caine, Laurence Olivier",7.4,175,U,Drama," History,  War",Youtube
93,A Bronx Tale,1993,Robert De Niro,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra",7.8,121,R,Crime, Drama,"Netflix, Amazon"
94,A Bug's Life,1998,"Directors:John Lasseter, Andrew Stanton","Kevin Spacey, David Foley, Julia Louis-Dreyfus, Hayden Panettiere",7.2,95,U,Animation," Adventure,  Comedy","Amazon, Netflix, Hulu, Vudu"
95,A Christmas Carol,2009,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine",6.8,96,U,Animation," Adventure,  Comedy","Amazon, Netflix, Hulu, Vudu"
96,A Christmas Story,1983,Bob Clark,"Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz",7.9,93,U,Comedy, Family,"Netflix, Vudu"
97,A Cinderella Story,2004,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd",5.9,95,U,Comedy," Family,  Romance","Amazon, Netflix, Hulu, Vudu"
98,A Civil Action,1998,Steven Zaillian,"John Travolta, Robert Duvall, Kathleen Quinlan, Tony Shalhoub",6.6,115,U,Drama,Drama,Netflix
99,A Clockwork Orange,1971,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",8.3,136,A,Crime, Sci-Fi,"Hulu, Amazon"
100,A Cure for Wellness,2016,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi",6.4,146,R,Drama," Fantasy,  Horror",Youtube
101,A Dangerous Method,2011,David Cronenberg,"Michael Fassbender, Keira Knightley, Viggo Mortensen, Vincent Cassel",6.4,99,R,Biography," Drama,  Romance","Amazon, Netflix, Hulu, Vudu"
102,A Dog's Purpose,2017,Lasse Hallström,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",7.2,100,U,Adventure," Comedy,  Drama",None
103,A Few Good Men,1992,Rob Reiner,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon",7.7,138,U,Drama, Thriller,"Hulu, Amazon"
104,A Fish Called Wanda,1988,"Directors:Charles Crichton, John Cleese","John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin",7.5,108,A,Comedy, Crime,Hulu
105,A Ghost Story,2017,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",6.8,92,R,Drama," Fantasy,  Romance","Netflix, Vudu"
106,A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan MarnÃ²",6.9,101,Not Rated,Drama," Horror,  Romance",None
107,A Good Day to Die Hard,2013,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",5.2,98,UA,Action, Thriller,"Amazon, Netflix, Hulu, Vudu"
108,A Good Year,2006,Ridley Scott,"Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard",6.9,117,UA,Comedy," Drama,  Romance",Netflix
109,A Goofy Movie,1995,Kevin Lima,"Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin",6.9,78,U,Animation," Adventure,  Comedy","Hulu, Netflix"
110,A Guide to Recognizing Your Saints,2006,Dito Montiel,"Robert Downey Jr., Rosario Dawson, Shia LaBeouf, Dianne Wiest",6.9,100,R,Crime, Drama,"Amazon, Netflix, Hulu, Vudu"
111,A Hard Day's Night,1964,Richard Lester,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",7.5,87,U,Comedy, Musical,"Vudu, Netflix"
112,A Haunted House,2013,Michael Tiddes,"Marlon Wayans, Essence Atkins, Marlene Forte, David Koechner",5,86,R,Comedy," Fantasy,  Horror",Vudu
113,A History of Violence,2005,David Cronenberg,"Viggo Mortensen, Maria Bello, Ed Harris, William Hurt",7.4,96,UA,Action," Crime,  Drama",Hulu
114,A Hologram for the King,2016,Tom Tykwer,"Tom Hanks, Omar Elba, Sarita Choudhury, Ben Whishaw",6.1,98,R,Comedy," Drama,  Romance","Amazon, Netflix, Hulu, Vudu"
115,A Knight's Tale,2001,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon",6.9,132,A,Action," Adventure,  Romance","Netflix, Hulu"
116,A League of Their Own,1992,Penny Marshall,"Tom Hanks, Geena Davis, Lori Petty, Madonna",7.3,128,U,Comedy," Drama,  Sport","Hulu, Amazon"
117,A Life Less Ordinary,1997,Danny Boyle,"Cameron Diaz, Ewan McGregor, Holly Hunter, Delroy Lindo",6.3,103,A,Comedy," Crime,  Fantasy",None
118,A Little Bit of Heaven,2011,Nicole Kassell,"Kate Hudson, Gael GarcÃ­a Bernal, Kathy Bates, Peter Dinklage",6.2,107,PG-13,Comedy," Drama,  Fantasy",Hulu
119,A Little Princess,1995,Alfonso Cuarón,"Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer",7.6,97,U,Drama," Family,  Fantasy","Amazon, Netflix, Hulu, Vudu"
120,A Lonely Place to Die,2011,Julian Gilbey,"Alec Newman, Ed Speleers, Melissa George, Kate Magowan",6.2,99,R,Action," Adventure,  Crime","Netflix, Hulu"
121,A Long Way Down,2014,Pascal Chaumeil,"Pierce Brosnan, Toni Collette, Imogen Poots, Aaron Paul",6.3,96,R,Comedy, Drama,"Amazon, Netflix, Hulu, Vudu"
122,A Lot Like Love,2005,Nigel Cole,"Ashton Kutcher, Amanda Peet, Taryn Manning, Aimee Garcia",6.6,107,U,Comedy," Drama,  Romance",Hulu
123,A Love Song for Bobby Long,2004,Shainee Gabel,"Scarlett Johansson, John Travolta, Gabriel Macht, Deborah Kara Unger",7.1,119,R,Drama,Drama,"Netflix, Amazon"
124,A Man Apart,2003,F. Gary Gray,"Vin Diesel, Timothy Olyphant, Larenz Tate, Geno Silva",6,109,R,Action," Crime,  Drama","Netflix, Hulu"
125,A Man for All Seasons,1966,Fred Zinnemann,"Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern",7.7,120,U,Biography," Drama,  History","Netflix, Amazon"
126,A Midsummer Night's Dream,1999,Michael Hoffman,"Kevin Kline, Michelle Pfeiffer, Rupert Everett, Stanley Tucci",6.4,116,PG-13,Comedy," Fantasy,  Romance",Netflix
127,A Mighty Heart,2007,Michael Winterbottom,"Angelina Jolie, Dan Futterman, Irrfan Khan, Archie Panjabi",6.6,108,A,Biography," Drama,  History",Hulu
128,A Mighty Wind,2003,Christopher Guest,"Christopher Guest, Eugene Levy, Michael McKean, Harry Shearer",7.2,91,PG-13,Comedy, Music,Amazon
129,A Million Ways to Die in the West,2014,Seth MacFarlane,"Seth MacFarlane, Charlize Theron, Liam Neeson, Amanda Seyfried",6.1,116,18,Comedy, Western,"Amazon, Netflix, Hulu"
130,A Monster Calls,2016,J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones, Toby Kebbell",7.4,108,UA,Adventure," Drama,  Family",Hulu
131,A Most Violent Year,2014,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo, Alessandro Nivola",7,125,R,Action," Crime,  Drama","Netflix, Hulu"
132,A Most Wanted Man,2014,Anton Corbijn,"Philip Seymour Hoffman, Rachel McAdams, Daniel BrÃ¼hl, Robin Wright",6.8,122,R,Crime," Drama,  Thriller","Netflix, Amazon"
133,A Night at the Opera,1935,"Directors:Sam Wood, Edmund Goulding","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle",7.8,96,Not Rated,Comedy," Music,  Musical","Amazon, Netflix, Hulu, Vudu"
134,A Night at the Roxbury,1998,John Fortenberry,"Chris Kattan, Will Ferrell, Raquel Gardner, Viveca Paulin",6.2,82,UA,Comedy," Music,  Romance",Vudu
135,A Nightmare on Elm Street,2010,Samuel Bayer,"Jackie Earle Haley, Rooney Mara, Kyle Gallner, Katie Cassidy",5.2,95,A,Crime," Drama,  Horror","Netflix, Vudu"
136,A Perfect Getaway,2009,David Twohy,"Milla Jovovich, Steve Zahn, Timothy Olyphant, Kiele Sanchez",6.5,98,R,Drama," Mystery,  Thriller","Amazon, Netflix, Hulu, Vudu"
137,A Perfect Murder,1998,Andrew Davis,"Michael Douglas, Gwyneth Paltrow, Viggo Mortensen, David Suchet",6.6,107,A,Crime," Drama,  Thriller",Hulu
138,A Perfect World,1993,Clint Eastwood,"Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther",7.5,138,UA,Crime," Drama,  Thriller","Hulu, Amazon"
139,A Quiet Place,2018,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",7.5,90,A,Drama," Horror,  Sci-Fi",Amazon
140,A Quiet Place Part II,2020,John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski",7.2,97,A,Drama," Horror,  Sci-Fi","Amazon, Netflix, Hulu, Vudu"
141,A Rainy Day in New York,2019,Woody Allen,"TimothÃ©e Chalamet, Elle Fanning, Liev Schreiber, Suzanne Smith",6.5,92,PG-13,Comedy, Romance,"Netflix, Vudu"
142,A River Runs Through It,1992,Robert Redford,"Craig Sheffer, Brad Pitt, Tom Skerritt, Brenda Blethyn",7.2,123,U,Drama,Drama,"Netflix, Amazon"
143,A Room with a View,1985,James Ivory,"Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands",7.2,117,Not Rated,Drama, Romance,Netflix
144,A Scanner Darkly,2006,Richard Linklater,"Keanu Reeves, Winona Ryder, Robert Downey Jr., Rory Cochrane",7,100,R,Animation," Comedy,  Crime","Amazon, Netflix, Hulu, Vudu"
145,A Series of Unfortunate Events,2004,Brad Silberling,"Jim Carrey, Jude Law, Meryl Streep, Liam Aiken",6.8,108,U,Adventure," Comedy,  Family",Hulu
146,A Serious Man,2009,"Directors:Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Sari Lennick, Fred Melamed",7,106,R,Drama,Drama,Hulu
147,A Shot in the Dark,1964,Blake Edwards,"Peter Sellers, Elke Sommer, George Sanders, Herbert Lom",7.4,102,PG,Comedy, Mystery,None
148,A Simple Favor,2018,Paul Feig,"Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells",6.8,117,15+,Comedy," Crime,  Mystery","Amazon, Netflix"
149,A Simple Plan,1998,Sam Raimi,"Bill Paxton, Billy Bob Thornton, Bridget Fonda, Brent Briscoe",7.5,121,R,Crime," Drama,  Thriller","Netflix, Amazon"
150,A Single Man,2009,Tom Ford,"Colin Firth, Julianne Moore, Matthew Goode, Nicholas Hoult",7.5,99,R,Drama, Romance,"Amazon, Netflix, Hulu, Vudu"
151,A Star Is Born,2018,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg",7.6,136,A,Drama," Music,  Romance","Hulu, Amazon"
152,A Street Cat Named Bob,2016,Roger Spottiswoode,"Luke Treadaway, Bob the Cat, Ruta Gedmintas, Joanne Froggatt",7.3,103,Not Rated,Biography," Drama,  Family",None
153,A Streetcar Named Desire,1951,Elia Kazan,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden",7.9,122,A,Drama,Drama,"Netflix, Amazon"
154,A Thousand Words,2012,Brian Robbins,"Eddie Murphy, Cliff Curtis, Kerry Washington, Clark Duke",5.8,91,U,Comedy," Drama,  Fantasy",Amazon
155,A Time to Kill,1996,Joel Schumacher,"Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",7.4,149,UA,Crime," Drama,  Thriller",Youtube
